metric,param,S1,S1_conf,ST,ST_conf
MeanStamina,recovery_rate,0.008450733471857121,0.020597684256679235,0.02822602025910598,0.005130036732031965
MeanStamina,breakaway_speed_frac,0.4401355281148622,0.10491522417739828,0.7374662575589943,0.10067038032501444
MeanStamina,utility_decay,0.015294239508555347,0.020160789045690262,0.03163145217774454,0.008659876183048287
MeanStamina,k_s,0.1664116336000029,0.09926653352417479,0.5500060290810438,0.0691422695317082
MeanStamina,n_agents,-0.005341331389680187,0.034303035974709774,0.0950361137065489,0.0314539873762503
NumGroups,recovery_rate,0.00403686463557928,0.012662138551119088,0.012953716322726277,0.0029097137115272624
NumGroups,breakaway_speed_frac,0.29440369054776927,0.057667247835331635,0.3641505219851915,0.05410423140837879
NumGroups,utility_decay,-0.0052460965172534115,0.011563740252074338,0.013586809948638224,0.007762587087657039
NumGroups,k_s,0.38792113389623156,0.07048629149924002,0.5690869771087668,0.07647678551674925
NumGroups,n_agents,0.13392498605698322,0.05980709940091837,0.2536950651426635,0.03718272126776897
Breakaways,recovery_rate,0.004666545124113659,0.009596829711910138,0.010091201558185091,0.0028206279095855627
Breakaways,breakaway_speed_frac,0.541869556007311,0.09496719752607805,0.6487614727338867,0.10391797406239729
Breakaways,utility_decay,0.001165571864519551,0.007665710313155839,0.01080463978124374,0.007054424937504498
Breakaways,k_s,0.11606043321956477,0.05868757385434556,0.2481864250691719,0.057270992618629585
Breakaways,n_agents,0.12065103813252016,0.052525844111717346,0.2878381172028474,0.05494571008871568
MeanExposure,recovery_rate,-0.000893123097950816,0.015753666525800642,0.020388693698117737,0.003417029284680314
MeanExposure,breakaway_speed_frac,0.4979618247915996,0.07701436901204012,0.560587218684085,0.07220468729350599
MeanExposure,utility_decay,0.00026556604744186,0.015021605659771257,0.016460492641849258,0.006907197241101898
MeanExposure,k_s,0.34618257344822795,0.07454054365730052,0.4871133595062908,0.06628133304534525
MeanExposure,n_agents,0.005091759310574816,0.0302143711404621,0.06779325392143033,0.021517683423135443
TotalTime,recovery_rate,-0.0010695401006703316,0.00256447528404284,0.0002672087298801548,6.405050343875779e-05
TotalTime,breakaway_speed_frac,-0.0038771499487395672,0.007760271093912495,0.005443854653538614,0.0010778817025257415
TotalTime,utility_decay,-0.0013608069733690893,0.0018955903120602808,0.0003458218467079308,0.0002635004714419461
TotalTime,k_s,0.02320967607487786,0.021857272702520452,0.03550980512619277,0.0065041925877221615
TotalTime,n_agents,0.9620535793753541,0.10647574819436782,0.9619910383387292,0.09596890607343538
MeanTime,recovery_rate,0.0024724194323072985,0.011582977991239645,0.009270123689992495,0.002608446999462846
MeanTime,breakaway_speed_frac,0.020088803870436454,0.06143526887976762,0.23954998895359877,0.04461729998016984
MeanTime,utility_decay,-0.0059559495917260175,0.01662939416813474,0.009784823637709505,0.0052988792608713465
MeanTime,k_s,0.7075052969286963,0.11006019473865658,0.9621973535221163,0.11744281424940048
MeanTime,n_agents,0.012703272109761713,0.031769933534490785,0.07671114432186632,0.03380135178227313
TotalStaminaSpent,recovery_rate,0.00614877415092058,0.016218417647374344,0.014994718009429593,0.003507033734604234
TotalStaminaSpent,breakaway_speed_frac,0.16094772482662525,0.07605632694249055,0.435824280209209,0.0848372204931132
TotalStaminaSpent,utility_decay,-0.0035018798055830133,0.014158089805088975,0.021300103413803426,0.01564868703993982
TotalStaminaSpent,k_s,0.2484110354256112,0.09714419457683089,0.5824782829199189,0.10415900532227752
TotalStaminaSpent,n_agents,0.19899170547120407,0.07501751129599599,0.4053216166864157,0.0797529114823905
MeanStaminaSpent,recovery_rate,0.004873762055629526,0.017109980082224578,0.022884225114809916,0.0044539198228375244
MeanStaminaSpent,breakaway_speed_frac,0.2812211898824732,0.09817627194940458,0.5948358140935127,0.08827987919995645
MeanStaminaSpent,utility_decay,0.007742926555003684,0.020228043903559458,0.024719102742042712,0.009821923851204513
MeanStaminaSpent,k_s,0.3207046480851335,0.10335874881963332,0.7344452705081789,0.08485678222465519
MeanStaminaSpent,n_agents,-0.010398978258178692,0.03844668743837061,0.08253509621301032,0.03471673798800103
