sample_idx,w_max10_mean,w_max10_std,cp_fraction,recovery_rate,k_aero,c_roll,ref_speed_frac,k_s,breakaway_speed_frac,breakaway_cooldown_steps,utility_decay,evo_noise,sim_scale,evo_bottom_frac,evo_top_frac,imitation_mu,n_agents,n_teams
0,550.0,79.33333333333333,0.8,0.15000000000000002,0.6,3.0,0.9,1.0,1.0,14.0,1.0,0.03333333333333334,1.5,0.2,0.13333333333333336,0.3,192.0,10.666666666666668
1,550.0,79.33333333333333,0.8,0.15000000000000002,0.6,3.0,0.9,1.0,1.0,14.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.3,192.0,10.666666666666668
2,550.0,79.33333333333333,0.8,0.05,0.6,3.0,0.9,1.0,1.0,14.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.3,192.0,10.666666666666668
3,550.0,79.33333333333333,0.8,0.05,0.6,3.0,0.9,1.0,1.0,14.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.3,80.0,10.666666666666668
4,550.0,79.33333333333333,0.8,0.05,0.6,3.0,0.9,1.0,1.0,2.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.3,80.0,10.666666666666668
5,550.0,79.33333333333333,0.8,0.05,1.0,3.0,0.9,1.0,1.0,2.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.3,80.0,10.666666666666668
6,550.0,79.33333333333333,0.8,0.05,1.0,3.0,0.9,1.0,1.0,2.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.3,80.0,24.0
7,550.0,79.33333333333333,0.8,0.05,1.0,3.0,0.9,0.7999999999999999,1.0,2.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.3,80.0,24.0
8,550.0,79.33333333333333,0.6666666666666666,0.05,1.0,3.0,0.9,0.7999999999999999,1.0,2.0,1.0,0.03333333333333334,1.5,0.2,0.3,0.3,80.0,24.0
9,550.0,79.33333333333333,0.6666666666666666,0.05,1.0,3.0,0.9,0.7999999999999999,1.0,2.0,1.0,0.03333333333333334,1.5,0.4,0.3,0.3,80.0,24.0
