metric,param,S1,S1_conf,ST,ST_conf
MeanStamina,recovery_rate,0.00378226720373925,0.02096208295585319,0.029754225844066638,0.0049501490939814746
MeanStamina,breakaway_speed_frac,0.4418413140132862,0.09467846413854066,0.7486536895923621,0.10631909997570652
MeanStamina,utility_decay,-0.0032464610531016762,0.022434911188134374,0.030222538043810896,0.006916071747922435
MeanStamina,k_s,0.1505102187949697,0.09306902946271708,0.4831385672593302,0.06622527236336016
MeanStamina,n_agents,-0.0020679660464988847,0.036068526221756755,0.08502604823253415,0.023285426283262176
NumGroups,recovery_rate,0.020157629886949347,0.013180621997376999,0.012200602839263075,0.0028550981615630064
NumGroups,breakaway_speed_frac,0.27116172492350704,0.07294156855699226,0.3189346119146722,0.0543275287885237
NumGroups,utility_decay,0.005735988903662124,0.012322646114345534,0.009896155401382941,0.005218126389092001
NumGroups,k_s,0.3755434294789814,0.09129678641452348,0.5545122865432186,0.09433409509902965
NumGroups,n_agents,0.12447261897770262,0.06506636668584394,0.2521321136133281,0.04189553495799758
Breakaways,recovery_rate,0.014682964747331079,0.009534026969261604,0.011239183280515297,0.0037580478357841477
Breakaways,breakaway_speed_frac,0.47821500330960065,0.08900617324154404,0.5624553982778822,0.08929779584345982
Breakaways,utility_decay,-0.0032574859335617536,0.010317219408240907,0.007952023383122217,0.005651807231660656
Breakaways,k_s,0.1206236955461354,0.05400538255850959,0.2415901169800125,0.051146553620686104
Breakaways,n_agents,0.10657230223416865,0.060587643775600664,0.2790222442982404,0.055637263394858916
MeanExposure,recovery_rate,0.014616130115608255,0.01702939788333413,0.021230594047534884,0.004633927521499552
MeanExposure,breakaway_speed_frac,0.4831586046192288,0.08164543522560479,0.5502044446419865,0.06989086159326742
MeanExposure,utility_decay,0.010296681418095368,0.017331187591278635,0.014714266826672786,0.005627556333285207
MeanExposure,k_s,0.3436389241607212,0.08308956475797326,0.47208940467537913,0.05909981081449366
MeanExposure,n_agents,-0.021269315638444718,0.02857119775517986,0.06428589408851507,0.023381044279173754
TotalTime,recovery_rate,-0.0011212544702218048,0.0019647186901750376,0.00020750982454059865,5.950719498203439e-05
TotalTime,breakaway_speed_frac,0.0023937336356775548,0.01018354996439701,0.009548658834785883,0.00216142213533381
TotalTime,utility_decay,-0.0008753700363239502,0.0015111886685284276,0.00017428127985805172,9.376763789608445e-05
TotalTime,k_s,0.02262242911582144,0.022910768999932267,0.03591353362132295,0.0064362309526005525
TotalTime,n_agents,0.9759929752572296,0.10515384318035498,0.9898907201974103,0.08699335681910392
MeanTime,recovery_rate,-0.0036942117489865184,0.010445663014923475,0.008829547447935703,0.0032887833385641177
MeanTime,breakaway_speed_frac,0.03288197054961037,0.05438460181162101,0.22910126346585905,0.044577659454426065
MeanTime,utility_decay,0.005151908054449667,0.011437623753954414,0.005709568406277026,0.003128780346630533
MeanTime,k_s,0.6888675730445558,0.10358639517630333,0.952901057835621,0.10757663498386126
MeanTime,n_agents,0.022056660917483747,0.02806689300820233,0.057984616881122525,0.022233720990023756
TotalStaminaSpent,recovery_rate,0.012593384504393698,0.01307437952502227,0.013328050580250954,0.0029127243811116242
TotalStaminaSpent,breakaway_speed_frac,0.17120490645749423,0.07356992024684623,0.4870161794966191,0.1069817210205272
TotalStaminaSpent,utility_decay,0.006817756182296735,0.015150546404072658,0.01421974047117062,0.006312564895470003
TotalStaminaSpent,k_s,0.20568784049003527,0.07477806780730634,0.5686156172937857,0.0948546115470211
TotalStaminaSpent,n_agents,0.23286129107658618,0.08315835602260747,0.45978804248850097,0.07463999447156822
MeanStaminaSpent,recovery_rate,0.007502707592958279,0.017172935663939074,0.022780161596921977,0.0044899871059651065
MeanStaminaSpent,breakaway_speed_frac,0.2673006460872979,0.0970873228801289,0.6071729536205488,0.08427781813766298
MeanStaminaSpent,utility_decay,0.009654243302607238,0.015112901420146378,0.020501024263614956,0.007786791841206958
MeanStaminaSpent,k_s,0.29271340997624445,0.10063651291108158,0.6817391042239377,0.08867446361280358
MeanStaminaSpent,n_agents,0.012094690303174263,0.032077692382136556,0.0653490864837497,0.01616536445881951
