metric,param_1,param_2,S2,S2_conf
MeanStamina,recovery_rate,breakaway_speed_frac,-0.0015386528986854886,0.028274440522171616
MeanStamina,recovery_rate,utility_decay,-0.006257200266269011,0.026728149005861245
MeanStamina,recovery_rate,k_s,0.013776734807213753,0.03163926113754294
MeanStamina,recovery_rate,n_agents,0.0012200777744245292,0.029708408234710146
MeanStamina,breakaway_speed_frac,utility_decay,-0.00972227096306282,0.0887044771069012
MeanStamina,breakaway_speed_frac,k_s,0.22216521581829898,0.11492114159842812
MeanStamina,breakaway_speed_frac,n_agents,-0.006284810766465484,0.08812109741899092
MeanStamina,utility_decay,k_s,0.0010465526907436629,0.028894280784199883
MeanStamina,utility_decay,n_agents,0.006376004247736438,0.02918369433420342
MeanStamina,k_s,n_agents,0.06278159428306036,0.11979287696791083
NumGroups,recovery_rate,breakaway_speed_frac,-0.013296393334194356,0.017830228823461122
NumGroups,recovery_rate,utility_decay,-0.013718016147594672,0.019134238301898365
NumGroups,recovery_rate,k_s,-0.015885680243321987,0.02129435304095492
NumGroups,recovery_rate,n_agents,-0.009632350037977425,0.020340243170850744
NumGroups,breakaway_speed_frac,utility_decay,0.003976666657578167,0.09461235820457999
NumGroups,breakaway_speed_frac,k_s,0.07662508841633531,0.10094138011436882
NumGroups,breakaway_speed_frac,n_agents,0.03780935231903598,0.10166473729576044
NumGroups,utility_decay,k_s,-0.023181125536126057,0.017623495818235548
NumGroups,utility_decay,n_agents,-0.0008362685868059522,0.016737860181724008
NumGroups,k_s,n_agents,0.1055948700131768,0.08846405937352099
Breakaways,recovery_rate,breakaway_speed_frac,-0.016526835809541507,0.018505139374199325
Breakaways,recovery_rate,utility_decay,-0.014140473678569635,0.015171747622795653
Breakaways,recovery_rate,k_s,-0.011575410345453466,0.01676978852700595
Breakaways,recovery_rate,n_agents,-0.014027908206245346,0.01606236652823331
Breakaways,breakaway_speed_frac,utility_decay,0.05215845269503091,0.1333540877456788
Breakaways,breakaway_speed_frac,k_s,0.07520777225071339,0.13789261760098176
Breakaways,breakaway_speed_frac,n_agents,0.10919751293130368,0.15792715814076866
Breakaways,utility_decay,k_s,-0.008080972745491424,0.013246563141819554
Breakaways,utility_decay,n_agents,0.0021174750001533016,0.012818222281467824
Breakaways,k_s,n_agents,0.04408191645380387,0.0859143300687546
MeanExposure,recovery_rate,breakaway_speed_frac,-0.0016679339010948202,0.026783539551393724
MeanExposure,recovery_rate,utility_decay,-0.0002478649860592,0.024125259538271767
MeanExposure,recovery_rate,k_s,-0.002642289965159139,0.024686405170589832
MeanExposure,recovery_rate,n_agents,-0.0032759404872263753,0.02384043289277808
MeanExposure,breakaway_speed_frac,utility_decay,0.004167287541142093,0.09134895434164193
MeanExposure,breakaway_speed_frac,k_s,0.07069849871083023,0.1204285365682341
