metric,param,S1,S1_conf,ST,ST_conf
MeanStamina,recovery_rate,0.0009604153873577912,0.02410776007306111,0.0067673745005231494,0.0025800938001463367
MeanStamina,breakaway_speed_frac,0.9138235969015309,0.2419794195908862,0.9329299791559368,0.1959462391346439
MeanStamina,utility_decay,-0.002615068923364327,0.010493535780580248,0.001775776702144029,0.0007116838752550289
MeanStamina,k_s,0.07898225232602911,0.08185661091549498,0.1436816241667326,0.059805181866834464
MeanStamina,n_agents,0.00911920609795045,0.022760478787484047,0.009410246506904895,0.004604499801553219
NumGroups,recovery_rate,0.031965294021068055,0.02637934381801493,0.007724971965280686,0.0029358079779442108
NumGroups,breakaway_speed_frac,0.010088489420280202,0.06278091120193811,0.03891858463434989,0.01836673328128363
NumGroups,utility_decay,-0.0022094101123782987,0.014815256496474917,0.0040543699898372984,0.0012465160793896195
NumGroups,k_s,0.04756152988044651,0.06840559980921652,0.05096246778907607,0.02400713506206374
NumGroups,n_agents,0.948367486414656,0.1953868373769602,0.9334339267697084,0.1845519594961964
Breakaways,recovery_rate,0.0010813962739013713,0.012108640230089025,0.0025290636213377757,0.0011906611835958308
Breakaways,breakaway_speed_frac,0.12625488365074664,0.08256917150186385,0.15790634255028027,0.05347530191841086
Breakaways,utility_decay,-0.00041643402744606244,0.01011781932831754,0.002192756320972939,0.0013986188117595091
Breakaways,k_s,0.020391399834539494,0.07583335636459915,0.10117093791418115,0.05140531944218026
Breakaways,n_agents,0.7029374699734875,0.18603858255064382,0.7393861034029637,0.14478873455167432
MeanExposure,recovery_rate,-5.804457375009222e-05,0.04165940067784112,0.02882036620933407,0.01001030880292551
MeanExposure,breakaway_speed_frac,0.5039915087199249,0.18946217308886676,0.6107677745189399,0.14566472670374683
MeanExposure,utility_decay,0.00992477200384657,0.03163754759831244,0.020267052639034708,0.007136677083074927
MeanExposure,k_s,0.21069324084661342,0.1269650582931432,0.3904336607863264,0.11434026804047862
MeanExposure,n_agents,0.0852319765691417,0.0895973557374748,0.19999463383676302,0.12263610901919919
TotalTime,recovery_rate,0.0002822622740348063,0.004032446107119189,0.000264683506340164,9.813621893886245e-05
TotalTime,breakaway_speed_frac,0.0257983706708108,0.037994701821543186,0.0235052836153851,0.00894198814191373
TotalTime,utility_decay,-0.0011330052822556167,0.002036350892906992,7.537757890009638e-05,3.492271549932972e-05
TotalTime,k_s,0.0011803209251912716,0.017038121070996757,0.0039501487979156915,0.0014945622089038223
TotalTime,n_agents,0.9721067658013858,0.19991848326419007,0.9739330835491294,0.17219240513228112
MeanTime,recovery_rate,-0.005857797521674785,0.027206355843078796,0.009621092332895003,0.0038300827013416196
MeanTime,breakaway_speed_frac,0.7890737424742074,0.19658922973089443,0.8714828784959384,0.1639519634386197
MeanTime,utility_decay,-0.0014210371848000522,0.0158935698738104,0.003013057317243583,0.0014634737646718368
MeanTime,k_s,0.17409108454801708,0.11910929103915993,0.1703008038795743,0.06353784505232249
MeanTime,n_agents,0.012958176719168043,0.038014360664106336,0.03085526499213797,0.023178256574427476
TotalStaminaSpent,recovery_rate,-0.00837779291315447,0.02396998363309614,0.007855077207734151,0.002681696031697174
TotalStaminaSpent,breakaway_speed_frac,0.4250186151091442,0.15257591352849192,0.49933281994889656,0.17143564409419587
TotalStaminaSpent,utility_decay,-0.0009244435141249551,0.008916967499792157,0.0014380405408671183,0.00047774337435997475
TotalStaminaSpent,k_s,0.03641049093179191,0.05613265411058171,0.0552063637663636,0.02261258519166497
TotalStaminaSpent,n_agents,0.4425222237904406,0.18925520787198655,0.5660608418557699,0.156843757507342
MeanStaminaSpent,recovery_rate,-0.007814362457477872,0.03215459242376086,0.012912752776138006,0.0042563505227060485
MeanStaminaSpent,breakaway_speed_frac,0.8848946751126098,0.19657640192905326,0.8868019725876786,0.16641142473411738
MeanStaminaSpent,utility_decay,-0.0034532861105305026,0.013236326060584499,0.002782657378632229,0.0013168138360534986
MeanStaminaSpent,k_s,0.1329308650807035,0.10157299572993941,0.1686738486794705,0.061215169205580955
MeanStaminaSpent,n_agents,0.012582469959657729,0.02981323629385381,0.014558229600070445,0.006723149526044791
