metric,param_1,param_2,S2,S2_conf
MeanStamina,recovery_rate,breakaway_speed_frac,0.010444591099316392,0.030805871435585518
MeanStamina,recovery_rate,utility_decay,0.009096325254704015,0.03198869828188567
MeanStamina,recovery_rate,k_s,0.002809044225900212,0.029776279412414095
MeanStamina,recovery_rate,n_agents,0.006508840228263093,0.03205782764749258
MeanStamina,breakaway_speed_frac,utility_decay,-0.02087011210448869,0.37922455931974514
MeanStamina,breakaway_speed_frac,k_s,0.027284754234103883,0.43738852638718556
MeanStamina,breakaway_speed_frac,n_agents,-0.008344808831002503,0.3805607688279934
MeanStamina,utility_decay,k_s,0.004910272408575556,0.01758506314284047
MeanStamina,utility_decay,n_agents,0.0023133007527609255,0.016393111215099794
MeanStamina,k_s,n_agents,0.0180337525064281,0.11652430081250584
NumGroups,recovery_rate,breakaway_speed_frac,-0.03149667177413143,0.03561765323809615
NumGroups,recovery_rate,utility_decay,-0.03158196947292569,0.03463761291326132
NumGroups,recovery_rate,k_s,-0.03176523688489421,0.036744604007387924
NumGroups,recovery_rate,n_agents,-0.038700258216635586,0.03676998703041791
NumGroups,breakaway_speed_frac,utility_decay,0.018872177355984836,0.0765360054048883
NumGroups,breakaway_speed_frac,k_s,0.01695300795504269,0.07977885619004683
NumGroups,breakaway_speed_frac,n_agents,-0.010044811104392037,0.07389112588872589
NumGroups,utility_decay,k_s,0.0012582743112895534,0.025232235618465586
NumGroups,utility_decay,n_agents,0.006892500976051985,0.022374528639578967
NumGroups,k_s,n_agents,-0.013135516263256042,0.08681393247794389
Breakaways,recovery_rate,breakaway_speed_frac,0.002261034619253449,0.01798445955556327
Breakaways,recovery_rate,utility_decay,0.005853865321666945,0.016788460814372984
Breakaways,recovery_rate,k_s,0.00529631925009608,0.0158595696262819
Breakaways,recovery_rate,n_agents,-0.0016830808255771101,0.015469200283874164
Breakaways,breakaway_speed_frac,utility_decay,-0.015985617750777035,0.15510946265691336
Breakaways,breakaway_speed_frac,k_s,0.000998883053233316,0.16277937410011328
Breakaways,breakaway_speed_frac,n_agents,0.03902714270388219,0.1682207218486039
Breakaways,utility_decay,k_s,0.0011088069418425384,0.019044873907023672
Breakaways,utility_decay,n_agents,0.013951138239116534,0.02247108132247121
Breakaways,k_s,n_agents,0.08407718325793445,0.13097194104214097
MeanExposure,recovery_rate,breakaway_speed_frac,-0.03389676737938746,0.06721140103145558
MeanExposure,recovery_rate,utility_decay,-0.014540275397712943,0.0613281885346812
MeanExposure,recovery_rate,k_s,-0.011033734573366788,0.06500140834648123
MeanExposure,recovery_rate,n_agents,0.0015639141199659812,0.06390647663184958
MeanExposure,breakaway_speed_frac,utility_decay,-0.016853464858227484,0.22985004537392278
MeanExposure,breakaway_speed_frac,k_s,0.1191281349847935,0.2591122589310891
MeanExposure,breakaway_speed_frac,n_agents,-0.006584967504305456,0.24930704404516732
MeanExposure,utility_decay,k_s,-0.02854307735804426,0.05221261237746611
MeanExposure,utility_decay,n_agents,-0.03207562723890042,0.05006292587197614
MeanExposure,k_s,n_agents,0.10422084532941722,0.19689701839557755
TotalTime,recovery_rate,breakaway_speed_frac,0.001461298014193424,0.0050548007158004275
TotalTime,recovery_rate,utility_decay,0.001366023647884283,0.005003647346600571
TotalTime,recovery_rate,k_s,0.0014209309284458171,0.004978973301245428
TotalTime,recovery_rate,n_agents,0.0009989546703491614,0.0048711934869035065
TotalTime,breakaway_speed_frac,utility_decay,-0.008572969432228923,0.05484335592089231
TotalTime,breakaway_speed_frac,k_s,-0.009018674673681113,0.05414780014282026
TotalTime,breakaway_speed_frac,n_agents,-0.001935617808707435,0.07041078314593796
TotalTime,utility_decay,k_s,0.0017153014974528816,0.0029098821752691646
TotalTime,utility_decay,n_agents,0.0007276523627058884,0.003060239254649962
TotalTime,k_s,n_agents,0.007490727680338538,0.03199458834015601
MeanTime,recovery_rate,breakaway_speed_frac,0.0121341770093214,0.029620539833982606
MeanTime,recovery_rate,utility_decay,0.006250698993324071,0.03063224364444454
MeanTime,recovery_rate,k_s,-0.0035294714714550757,0.03368214784245765
MeanTime,recovery_rate,n_agents,0.004938732203469999,0.030794385667330577
MeanTime,breakaway_speed_frac,utility_decay,0.024424119954961996,0.2536626720748667
MeanTime,breakaway_speed_frac,k_s,0.014288867381640757,0.2680159788741713
MeanTime,breakaway_speed_frac,n_agents,0.006754308700667681,0.2508751685831429
MeanTime,utility_decay,k_s,0.0016060078483945417,0.02727585872174623
MeanTime,utility_decay,n_agents,0.007908405113815582,0.021952760112696763
MeanTime,k_s,n_agents,-0.03296983200911685,0.18484313457024376
TotalStaminaSpent,recovery_rate,breakaway_speed_frac,0.020449860014111754,0.039178892559242465
TotalStaminaSpent,recovery_rate,utility_decay,0.0187384649049264,0.04030016861469855
TotalStaminaSpent,recovery_rate,k_s,0.01761583403112245,0.04021160895897825
TotalStaminaSpent,recovery_rate,n_agents,0.02243482910853406,0.041123879890093126
TotalStaminaSpent,breakaway_speed_frac,utility_decay,-0.001265751321399229,0.1845648166775965
TotalStaminaSpent,breakaway_speed_frac,k_s,0.003397992269976252,0.206304684789491
TotalStaminaSpent,breakaway_speed_frac,n_agents,0.05562192448224357,0.21027869684906683
TotalStaminaSpent,utility_decay,k_s,0.00044766211783409116,0.014303206994388135
TotalStaminaSpent,utility_decay,n_agents,-0.00017030593697214824,0.014589832218262275
TotalStaminaSpent,k_s,n_agents,0.026723187750531285,0.10376133426731672
MeanStaminaSpent,recovery_rate,breakaway_speed_frac,0.024088219574946668,0.04421427952654701
MeanStaminaSpent,recovery_rate,utility_decay,0.0205347912290456,0.04255165801210813
MeanStaminaSpent,recovery_rate,k_s,0.008235042153319883,0.040298678568704394
MeanStaminaSpent,recovery_rate,n_agents,0.012665137904073668,0.042103508351949516
MeanStaminaSpent,breakaway_speed_frac,utility_decay,-0.023022441434695035,0.2923176736216148
MeanStaminaSpent,breakaway_speed_frac,k_s,-0.02017627770830399,0.3344959889439792
MeanStaminaSpent,breakaway_speed_frac,n_agents,-0.029856484847815,0.2949253814751032
MeanStaminaSpent,utility_decay,k_s,-0.0025095476914895887,0.01936721148679266
MeanStaminaSpent,utility_decay,n_agents,0.0020529346934320507,0.017969123479171505
MeanStaminaSpent,k_s,n_agents,-0.018425907231922972,0.12868053938545243
