parameter,mu,mu_star,sigma,mu_star_conf
n_agents,220267.05,220267.05,127808.05769363065,51964.96137739292
road_length,208016.25,208016.25,104720.17924167193,41981.589109964065
k_aero,64788.0,64788.0,39305.38294994854,19131.350202052647
w_max10_mean,-52139.4,52139.4,33889.848637515104,14641.740481291341
ref_speed_frac,-45010.35,45010.35,44295.85717859901,18174.42204414945
cp_fraction,-6020.25,28507.95,40644.09951592637,12612.294801641563
breakaway_speed_frac,-1531.05,15650.25,33837.20782538686,11469.782258481606
w_max10_std,14634.3,14634.3,26324.739295155316,12635.136926783398
k_s,5577.45,11620.05,22487.119034484,8404.1280942822
c_roll,11511.0,11511.0,8942.889271723976,4114.938654811553
group_radius,7104.45,7709.55,32784.01163512644,11668.076496554657
rider_length,6867.45,7221.75,27289.997449374052,11378.758959436831
n_teams,-5820.6,6685.8,26205.193740735318,11242.897872281652
road_width,-2565.0,2979.9,11163.939839359675,4531.4920240623405
breakaway_cooldown_steps,-389.7,1936.2,4205.717638243392,1701.0626556471127
evo_top_frac,782.25,1693.95,3868.8509769153616,1460.4470525194363
evo_noise,-429.3,1563.3,3754.241420327849,1457.0569723695376
recovery_rate,-755.7,1309.8,3331.471637832778,1398.8384932165122
evo_bottom_frac,-1258.35,1275.45,3541.680173307578,1340.9394301995703
logit_lambda,-426.6,491.4,1133.4825887270472,457.3247585642772
rider_width,-292.65,325.65,474.5907128640868,187.49652463828903
imitation_mu,-115.05,138.75,329.2819100949663,135.25594544079968
sim_scale,0.0,0.0,0.0,0.0
learning_rate,0.0,0.0,0.0,0.0
