parameter,mu,mu_star,sigma,mu_star_conf
ref_speed_frac,225705.7486788805,225705.7486788805,428862.7861864295,180865.64361698105
n_teams,-87172.37701466914,99861.04178527904,408049.63774495415,197864.80621547197
rider_length,93191.59896008307,93207.67002785284,411879.57761792565,184780.7013142223
n_agents,6465.731386386202,93119.55496984502,258851.8375174633,106827.12661056669
cp_fraction,-90691.94469282635,90691.94469282635,226338.6036420097,85733.88147991065
breakaway_speed_frac,21903.211630519436,71341.75388118628,142898.71723306627,51159.31396352317
w_max10_mean,43139.374199666374,66194.88663940142,158157.5039561943,64757.258319965484
k_s,63090.822501234,63090.822501234,140587.2203066524,66656.75646494147
group_radius,43222.25990151179,43296.96838798102,185023.70154562633,75934.44063647553
w_max10_std,24008.92945462931,25853.700711271144,98938.67216988164,42898.55604875914
road_width,-22932.766970689994,23065.78964895874,94237.5552888437,43667.36759370695
road_length,9495.67119808036,15883.223224722871,56182.35708230135,25676.755327658957
breakaway_cooldown_steps,-9652.597899274722,9652.597899274722,22980.62075033906,9251.052576068103
evo_noise,-8699.443942480108,9539.286600394273,36479.99660613083,17325.470460952532
recovery_rate,2345.268069161071,8124.692787312134,26795.782531437395,10765.698602465334
k_aero,-4902.598982458374,6280.846158782195,18812.529536496033,8884.92017991147
c_roll,4963.646713353164,6047.778707068728,14409.873712455888,6392.4311410258615
logit_lambda,4291.899720496747,4291.899720496747,17092.09343327649,7407.150290911697
evo_bottom_frac,-2098.2188808720525,2098.2188808720525,6256.886879292642,2857.024035575929
evo_top_frac,1247.1320477702998,1911.9173787620562,5464.229545662654,2298.8433411309156
imitation_mu,-609.6313841117359,818.748950873413,2257.7277636690096,1062.66897084215
rider_width,-34.63624843958976,36.122702616190985,143.43594405312774,67.57779364040124
sim_scale,0.0,0.0,0.0,0.0
learning_rate,0.0,0.0,0.0,0.0
