metric,param,S1,S1_conf,ST,ST_conf
MeanStamina,recovery_rate,0.01259473261466343,0.030469806956943953,0.05731334840935096,0.011105014613562603
MeanStamina,breakaway_speed_frac,0.38438548919689647,0.1064252350509982,0.7158219706503478,0.10739303609137066
MeanStamina,utility_decay,0.008056404806187295,0.02639276204757307,0.04652898987343348,0.009385318578394116
MeanStamina,k_s,0.2477521722214452,0.09369520118684008,0.6027759282153641,0.0800839627980159
NumGroups,recovery_rate,0.00409492289660833,0.01164888225931883,0.008851880973494113,0.0015199820417047777
NumGroups,breakaway_speed_frac,0.15483770315902745,0.04775060859720494,0.18810557490792226,0.029183073030452797
NumGroups,utility_decay,-0.006102503694484241,0.011185212609605519,0.009414179232231114,0.002777817602364435
NumGroups,k_s,0.8175140278723623,0.08728616186198399,0.8601288860456909,0.0960650794417371
Breakaways,recovery_rate,0.0007336521274602364,0.011597080987679517,0.009544124814123338,0.0027187050163200266
Breakaways,breakaway_speed_frac,0.4092063935506157,0.09975792927888252,0.5293308438123271,0.0872003538077949
Breakaways,utility_decay,-0.005966790226452219,0.011149290194513994,0.00945943250930723,0.004445612048659234
Breakaways,k_s,0.45247270962219693,0.08459127451039612,0.5895687019594233,0.10908292387952317
MeanExposure,recovery_rate,0.015300636940633012,0.020112819519171724,0.025755686480230005,0.004664249362279153
MeanExposure,breakaway_speed_frac,0.3187210045003619,0.08291812978276927,0.39939984773321696,0.05271155242247369
MeanExposure,utility_decay,0.008506730218336695,0.014532271959802409,0.022794762648551684,0.005675952373184843
MeanExposure,k_s,0.6303337176747602,0.08429647517716918,0.7065446665863709,0.08812471314004576
