generation,n_finished,MeanStamina,NumGroups,Breakaways,MeanExposure,coop.alpha_mean,coop.alpha_std,coop.beta_mean,coop.beta_std,coop.gamma_mean,coop.gamma_std,coop.delta_mean,coop.delta_std,leave.alpha_mean,leave.alpha_std,leave.beta_mean,leave.beta_std,leave.gamma_mean,leave.gamma_std,leave.delta_mean,leave.delta_std,follow.alpha_mean,follow.alpha_std,follow.beta_mean,follow.beta_std,follow.gamma_mean,follow.gamma_std,follow.delta_mean,follow.delta_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,120,0.67668950285257,14.413793103448276,30.555555555555557,0.38798364642493244,0.5105598718181357,0.09768707576105204,19.994540540368682,0.11164554442493908,1.0029842636093098,0.09886453212523717,-2.998095017848135,0.09852819025028417,2.9936986271412476,0.10616773981145153,-19.997310463968322,0.09329840260889591,-0.01451588638693523,0.0984350255787787,0.007639056781762116,0.10201776748655718,-20.003389658653656,0.10285811028912975,-0.0053696490108273735,0.08738228031106982,0.0035480753103787305,0.09743857322112727,-0.009230643470096856,0.09882513678823966,0.1210644147277396,0.2681789341344655,1.1956975393836347e-15,1.022014743107919,1.0220147431079178
1,120,0.7071005935659455,15.77,32.17,0.36068205966483713,0.5098036466698455,0.09373470243726016,19.99088127047063,0.09942614380722095,0.9989787065054088,0.08981047120452965,-2.9959882522591723,0.09495141719406454,2.9957858912893838,0.09768332883713801,-19.998456828586125,0.08723177400894376,-0.022113593525604287,0.08931681850077534,0.00052014327195462,0.0943096819491754,-20.006693374146487,0.09925110673816732,0.0017596418159262742,0.08590349025451845,0.0047846660842574395,0.09163497131107333,-0.022208458432673474,0.0908677514897058,0.1210644147277396,0.3095226348458903,1.7460919503794031e-19,1.2018965179946624,1.2018965179946624
2,120,0.7029762744831055,13.549603174603174,31.53968253968254,0.36235901752505834,0.4990441360416117,0.09606109240289212,19.983327795288634,0.09773696277915354,1.000894209465387,0.08567149518225854,-2.9776538278857987,0.09804528692460164,2.9896271184977894,0.09858668418720273,-19.995181039401206,0.08115881835520508,-0.016296321919752475,0.08744079136845652,0.004029224031317352,0.09129962856751567,-20.010699037718155,0.09890443542814169,-0.0009882335079273703,0.0871376499254987,0.004199985372973288,0.08677493772309741,-0.031050534853453243,0.08488425497193539,0.12106441472773961,0.2739454985215377,3.7058927155776476e-15,1.0053594209899677,1.005359420989964
3,120,0.6964847300294325,14.246575342465754,31.16046966731898,0.3699823661151415,0.4966327974923377,0.09244874246608543,19.983475137684863,0.09811024023860157,0.9990673490418889,0.08187770250903875,-2.9811251581182727,0.09850216150938056,2.9847637685144224,0.09054973162868306,-19.992604951507012,0.0765053863504358,-0.0159333092321214,0.08435901346998452,0.003195598660681388,0.08563611663163319,-20.008748407069028,0.09936294714094177,0.0012788184462030857,0.08526686700202972,0.007415878264031273,0.08693947106407052,-0.023165975558974258,0.08673826545771558,0.1210644147277396,0.26249623161841146,4.1685936406763154e-10,1.0001507836404089,1.0001507832235494
4,120,0.6759207971965098,12.366602687140116,30.310940499040306,0.3862328105835624,0.49781471232436164,0.08755688698743565,19.977889695881096,0.0954687461131118,0.9980037833881528,0.07845699518326718,-2.987028666496837,0.09071022367937946,2.982174675613895,0.08493167188236307,-19.9952623490046,0.07543791577290714,-0.01726609500822368,0.07814332759561346,0.0010363372037193043,0.08134878239185171,-20.00804719745397,0.09714739839548432,0.004004759120427254,0.0820453222116504,0.006386653222738837,0.08210985586813696,-0.019021032218376137,0.08328540759700215,0.12106441472773961,0.36108139476790596,6.27405867327924e-14,1.4575587111696664,1.4575587111696036
5,120,0.7046712555417098,15.143426294820717,32.4203187250996,0.359200541292434,0.503181229874061,0.09242894280518003,19.97657883128351,0.09216739504175935,1.0012530295651743,0.07966913330665351,-2.977953612425642,0.08796172616374566,2.982935948979978,0.08437397479720547,-19.988959677566804,0.07733490693013034,-0.020802567929092793,0.08317544776339672,0.007758523462762732,0.08945240820472727,-20.0060419351278,0.0996171932370011,0.007980942469759784,0.08169994366065218,0.005509300640015293,0.07797046807142799,-0.017707593461378283,0.07962535544690785,0.1210644147277396,0.2624459323489062,5.690549560973604e-15,1.0000001171223565,1.0000001171223507
6,120,0.7091204178101792,13.474949899799599,31.847695390781563,0.3537766856619796,0.5048249136864383,0.08406131789187639,19.97570186753548,0.086133757996853,1.0027789481859686,0.07717375998098927,-2.9738165863320662,0.0895209401562048,2.9894627358057897,0.0769490572453273,-19.989277114692054,0.06588365271680803,-0.017189761403243357,0.07032759075836019,0.010538402497301865,0.08632868018986911,-20.00306368339465,0.09790789420408617,0.009145901417725429,0.0808026376774493,0.011311425507985019,0.07723271423298722,-0.012566993097167368,0.07827251821247082,0.1210644147277396,0.2634251898500087,3.1120024320906333e-13,1.0037282961994913,1.00372829619918
7,120,0.7234603814406201,14.356854838709678,32.221774193548384,0.3427101539414221,0.504376034034974,0.08126499154645617,19.98390278553218,0.07908361592662541,0.995499303170926,0.07153651880094863,-2.9771501364542043,0.08407191115131553,2.9850706609252318,0.07337483386730362,-19.993210254134013,0.06430119166272337,-0.017278191789395044,0.06660778254272974,0.007063125349926833,0.08441033709102329,-20.00389201520813,0.09499153280283322,0.006229449646809295,0.08161892133963118,0.019858920102634126,0.07739525057241566,-0.008507873888127189,0.07513049713139436,0.12106441472773961,0.2624706913027439,2.064578347404863e-09,1.0000677287441153,1.000067726679537
8,120,0.6728007449137652,14.187022900763358,30.583969465648856,0.39188049945578257,0.5035057147839351,0.07663646692121477,19.984828205863323,0.07722419270775481,0.9985331593769642,0.07394238019445247,-2.9841313043354782,0.08318558279497008,2.9911255895311255,0.07237312620588164,-19.993459009839412,0.06497199198922875,-0.018661276213441234,0.06564490290558825,0.005815734555869654,0.08268523127590642,-20.00196725692189,0.09146046784030497,0.00646203562395801,0.07388536818250602,0.018368779583212057,0.07619754033170131,-0.01623458580633963,0.07253639451542528,0.1210644147277396,0.26254293695532244,3.705718804862428e-15,1.0000000000377514,1.0000000000377476
9,120,0.6881704592138723,14.939688715953308,31.64396887159533,0.37750447424566436,0.5016068044705208,0.0728950802447186,19.996357896413127,0.07785865606144955,0.9912856810560412,0.0677599898975966,-2.9806532302215496,0.08360795531636642,2.985443159153479,0.0685684698837208,-19.991539238173726,0.06140284270148674,-0.025864195552507442,0.05945302030799482,0.009157595674178731,0.07886978785015422,-20.005922287986923,0.09116322859422124,0.011155919267075763,0.06691593349318578,0.019707716837567335,0.07676032627580863,-0.014062348758444473,0.06942950467809227,0.12106441472773961,0.26724194181550853,3.424838643429193e-12,1.0183293130848026,1.0183293130813778
