generation,n_finished,effort.alpha_mean,effort.alpha_std,effort.beta_dist_mean,effort.beta_dist_std,effort.gamma_team_mean,effort.gamma_team_std,effort.delta_energy_mean,effort.delta_energy_std,effort.gamma_match_mean,effort.gamma_match_std,sustain.bias_mean,sustain.bias_std,sustain.k_gap_mean,sustain.k_gap_std,weights.lambda_speed_mean,weights.lambda_speed_std,weights.lambda_energy_mean,weights.lambda_energy_std,weights.lambda_risk_mean,weights.lambda_risk_std,weights.beta_loss_mean,weights.beta_loss_std,utility_mean,utility_std,utility_min,utility_max,utility_range
0,50,-0.14598555764424517,1.0400809447109918,-0.21029466882548728,0.9265793314377093,-0.0008097767735100149,1.0629991839462785,-0.18628484588455627,0.9106784063244575,0.023205254728310382,1.060517214374244,0.05612695574032086,1.1861730150384586,0.5244297307015676,0.9834485070313705,0.9406241264341765,0.9825321364122851,0.7477406088915199,0.9973710487636746,0.492920163405057,0.41510981242417266,1.6641024286179036,0.543746030784504,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
1,50,0.037565499856943664,0.8495223239125155,-0.2869886904259266,0.926350727663172,0.08441028769098587,0.9414968395846078,-0.017600888315394737,0.8294192398603615,0.08522806209236126,0.9457877758251947,-0.1268594328634871,1.1205945390250978,0.4602366473847342,0.9638998647352283,1.0212993908608836,0.8834865447157085,0.8192032855920526,0.9823949132492175,0.36057135266598017,0.4408100816158708,1.6129925829101572,0.5010864284216714,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
2,50,0.026184912525473083,0.8194971518865891,-0.2531503868628552,0.7515180286670952,0.0906962228872548,0.8984731273151851,-0.061365525541600685,0.791781687298767,0.1360628949373161,0.9086665379933018,-0.11414691135907583,1.1324065065836055,0.4911939366802868,0.9798698676547545,1.0245590266441653,0.8556208871331185,0.7780520564236283,1.055206628182976,0.4264162258980466,0.4765405569093955,1.635139467745369,0.44969917550722727,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
3,50,0.10256999980348484,0.6827487236250865,-0.2824013727735307,0.6445150326503034,0.25299606026172206,0.7900732734951815,-0.11191880885118578,0.7243958098481933,0.05292662769311465,0.89781438928327,-0.05164887183153932,1.031294725180366,0.4547449045657129,0.8500318790417702,1.1690192739023761,0.859804164087222,1.0419590611970062,1.0154923742894355,0.46904812731446194,0.4847118323786939,1.7346694508374954,0.5131828530381163,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
4,50,0.14605810517947812,0.6093771612496207,-0.3039931677256143,0.6199225027153502,0.23033001232155143,0.9059497668143764,-0.2926931573914871,0.6835299505880824,-0.03910575119491214,0.840496648319468,-0.12679614661176736,0.8349600854125917,0.3821373678079974,0.7996136766210281,1.1898088565640097,0.8643130943058419,1.0969406075824895,1.0893610648833523,0.47054683307427614,0.5133759574910695,1.7897224669438214,0.5642076585025245,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
5,50,0.09821863302041507,0.640250243756862,-0.3503414540079301,0.5302016282900642,0.11729693611026144,0.9450735590024614,-0.43012802788187904,0.6476574364068223,-0.14736867219049574,0.7759975106452689,-0.05856415346091531,0.8858820568332529,0.29131627179928493,0.7987528941617534,1.1639801180370954,0.7522604356198709,0.9508276500367796,1.1082576370112287,0.4840174819612568,0.4721753467945992,1.7366356171303554,0.49392672151116773,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
6,50,0.12445343432342974,0.5903959568974226,-0.33971358121031925,0.5028165339796727,0.15886407977821537,0.9249997719061225,-0.408706666583041,0.6269955903798586,-0.08254803531068022,0.7564750208383914,-0.1035725168355588,0.8084227159086905,0.3712883168226221,0.7670557895022919,1.2408629329765017,0.7638130946371836,0.9807112731783486,1.0785279819716473,0.5480332859627454,0.46615889251920584,1.7537891323065986,0.48498236206905365,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
7,50,0.13482106338668215,0.5867634580837393,-0.31028879620852123,0.49591750888108527,0.24750352637514597,0.9286568154712567,-0.45985296995886743,0.5762133114960801,-0.05898917409982259,0.7073214134185662,-0.18376063018273275,0.7858524002281797,0.3625964455158311,0.6745942229159447,1.3164778997395865,0.7990064580328856,1.0698145307216673,1.055415098522963,0.5701886617358922,0.49258440376739626,1.8217155884989715,0.4744218748765309,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
8,50,0.15811154984758158,0.5389107960338709,-0.37085506082972414,0.48546175863557606,0.30963688812972506,0.8489792182085486,-0.43255499378106094,0.545170929474144,-0.1368755040686524,0.7115767615651326,-0.20553557871893186,0.7164140217724421,0.34645074176524626,0.6537951382969142,1.2147106092931805,0.7878765999101119,1.1387279165223059,0.9800346108903816,0.5735184537943917,0.46941052948364115,1.8042533089230468,0.3985904639283321,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
9,50,0.11321534582033052,0.5138583820814486,-0.44433364375689993,0.48625420144930426,0.16293780433323377,0.9052847061270278,-0.3936596340277138,0.4848821638731588,-0.15453241421790767,0.6945424835413512,-0.17404787360803517,0.6753535038396489,0.2772665567504015,0.5825825656868757,1.2769914849021287,0.7474225905680749,1.0294730884700538,0.9887663755746896,0.540922663953052,0.48121080998494964,1.7481015920788332,0.4119970472066567,0.12132979101871011,0.3613258632932933,6.149759759173212e-09,2.0,1.9999999938502402
